Id;Provinsi;Kabupaten/Kota;Jenis_Ikan;Tahun;Volume_Produksi;Nilai_Produksi;Harga_Lele
462;JAWA TENGAH;WONOSOBO;LELE;2023;1075226;17203616000;16000
461;JAWA TENGAH;WONOGIRI;LELE;2023;544978;10162082000;18646775
460;JAWA TENGAH;TEMANGGUNG;LELE;2023;4359111;91541331000;21000
459;JAWA TENGAH;TEGAL;LELE;2023;1083452;21669040000;20000
458;JAWA TENGAH;SUKOHARJO;LELE;2023;12002368;2.16043E+11;18000
457;JAWA TENGAH;SRAGEN;LELE;2023;8714757;1.72143E+11;19753053
456;JAWA TENGAH;SEMARANG;LELE;2023;3375208;64011476600;18965195
455;JAWA TENGAH;REMBANG;LELE;2023;999586;19885464000;19893.7
454;JAWA TENGAH;PURWOREJO;LELE;2023;557839;10390421500;18626201
453;JAWA TENGAH;PURBALINGGA;LELE;2023;2180190;40333515000;18500
452;JAWA TENGAH;PEMALANG;LELE;2023;2150730;43014600000;20000
451;JAWA TENGAH;PEKALONGAN;LELE;2023;1136826;19326042000;17000
450;JAWA TENGAH;PATI;LELE;2023;11713132;2.29823E+11;19620999
449;JAWA TENGAH;MAGELANG;LELE;2023;4895362;97907240000;20000
448;JAWA TENGAH;KUDUS;LELE;2023;1847830;38804430000;21000
447;JAWA TENGAH;KOTA TEGAL;LELE;2023;16893;295627500;17500
446;JAWA TENGAH;KOTA SURAKARTA;LELE;2023;43712;830528000;19000
445;JAWA TENGAH;KOTA SEMARANG;LELE;2023;192453;4384035500;22779772
444;JAWA TENGAH;KOTA SALATIGA;LELE;2023;605904;10300368000;17000
443;JAWA TENGAH;KOTA PEKALONGAN;LELE;2023;130520;2479880000;19000
442;JAWA TENGAH;KOTA MAGELANG;LELE;2023;38100;666750000;17500
441;JAWA TENGAH;KLATEN;LELE;2023;11829671;2.12934E+11;18000
440;JAWA TENGAH;KENDAL;LELE;2023;3182800;60473200000;19000
439;JAWA TENGAH;KEBUMEN;LELE;2023;1289045;23809138000;18470370
438;JAWA TENGAH;KARANGANYAR;LELE;2023;1710249;30784482000;18000
437;JAWA TENGAH;JEPARA;LELE;2023;4317360;94981920000;22000
436;JAWA TENGAH;GROBOGAN;LELE;2023;2592873;47974514000;18502454
435;JAWA TENGAH;DEMAK;LELE;2023;39827731;6.37244E+11;16000
434;JAWA TENGAH;CILACAP;LELE;2023;2848506;55656952000;19538998
433;JAWA TENGAH;BREBES;LELE;2023;2975734;63978281000;21500
432;JAWA TENGAH;BOYOLALI;LELE;2023;30903214;6.48967E+11;21000
431;JAWA TENGAH;BLORA;LELE;2023;773518;14290492000;18474673
430;JAWA TENGAH;BATANG;LELE;2023;1345039;26900780000;20000
429;JAWA TENGAH;BANYUMAS;LELE;2023;3860008;69480144000;18000
428;JAWA TENGAH;BANJARNEGARA;LELE;2023;18813223;3.38638E+11;18000
