Id;Provinsi;Kabupaten/Kota;Jenis Ikan;Tahun;Volume Produksi;Nilai Produksi;Harga Lele
;JAWA BARAT;BANDUNG;LELE;2019;5372785;85964560000;16000
;JAWA BARAT;BANDUNG BARAT;LELE;2019;1328082;19921230000;15000
;JAWA BARAT;BEKASI;LELE;2019;2019121;34325057000;17000
;JAWA BARAT;BOGOR;LELE;2019;89814340;1526843780000;17000
;JAWA BARAT;CIAMIS;LELE;2019;18162827;236116751000;13000
;JAWA BARAT;CIANJUR;LELE;2019;14124120;225985920000;16000
;JAWA BARAT;CIREBON;LELE;2019;9987423;199748460000;20000
;JAWA BARAT;GARUT;LELE;2019;3162167;53756839000;17000
;JAWA BARAT;INDRAMAYU;LELE;2019;70666948;1060004220000;15000
;JAWA BARAT;KARAWANG;LELE;2019;759058;9108696000;12000
;JAWA BARAT;KOTA BANDUNG;LELE;2019;51015;867255000;17000
;JAWA BARAT;KOTA BANJAR;LELE;2019;290733;4360995000;15000
;JAWA BARAT;KOTA BEKASI;LELE;2019;1232020;21096220000;17123.27722
;JAWA BARAT;KOTA BOGOR;LELE;2019;2249790;38246430000;17000
;JAWA BARAT;KOTA CIMAHI;LELE;2019;207624;3737232000;18000
;JAWA BARAT;KOTA CIREBON;LELE;2019;73645;1104675000;15000
;JAWA BARAT;KOTA DEPOK;LELE;2019;105600;2006400000;19000
;JAWA BARAT;KOTA SUKABUMI;LELE;2019;487934;9758680000;20000
;JAWA BARAT;KOTA TASIKMALAYA;LELE;2019;1415171;16982052000;12000
;JAWA BARAT;KUNINGAN;LELE;2019;3690966;63800373000;17285.54882
;JAWA BARAT;MAJALENGKA;LELE;2019;1704690;28979730000;17000
;JAWA BARAT;PANGANDARAN;LELE;2019;60224;978712400;16251.20218
;JAWA BARAT;PURWAKARTA;LELE;2019;568590;8810290000;15494.97881
;JAWA BARAT;SUBANG;LELE;2019;2672040;53440800000;20000
;JAWA BARAT;SUKABUMI;LELE;2019;12243556;171409784000;14000
;JAWA BARAT;SUMEDANG;LELE;2019;125302;2211456619;17649.01294
;JAWA BARAT;TASIKMALAYA;LELE;2019;9921100;148816500000;15000
;JAWA TENGAH;BANJARNEGARA;LELE;2019;12293455;184401825000;15000
;JAWA TENGAH;BANYUMAS;LELE;2019;3394404;69893172000;20590.70517
;JAWA TENGAH;BATANG;LELE;2019;1286154;20143176000;15661.55841
;JAWA TENGAH;BLORA;LELE;2019;319235;5426995000;17000
;JAWA TENGAH;BOYOLALI;LELE;2019;26996762;431948192000;16000
;JAWA TENGAH;BREBES;LELE;2019;1709490;37608780000;22000
;JAWA TENGAH;CILACAP;LELE;2019;2552880;39075377000;15306.39004
;JAWA TENGAH;DEMAK;LELE;2019;23823963;390455952000;16389.21081
;JAWA TENGAH;GROBOGAN;LELE;2019;2114666;35949322000;17000
;JAWA TENGAH;JEPARA;LELE;2019;4961137;83341054000;16798.78101
;JAWA TENGAH;KARANGANYAR;LELE;2019;1558110;24929760000;16000
;JAWA TENGAH;KEBUMEN;LELE;2019;923807;14780912000;16000
;JAWA TENGAH;KENDAL;LELE;2019;2120550;35254087500;16624.97347
;JAWA TENGAH;KLATEN;LELE;2019;9301717;148827472000;16000
;JAWA TENGAH;KOTA MAGELANG;LELE;2019;62374;1029171000;16500
;JAWA TENGAH;KOTA PEKALONGAN;LELE;2019;37460;674280000;18000
;JAWA TENGAH;KOTA SALATIGA;LELE;2019;782280;12516480000;16000
;JAWA TENGAH;KOTA SEMARANG;LELE;2019;3934857;70827426000;18000
;JAWA TENGAH;KOTA SURAKARTA;LELE;2019;42574;804338000;18892.70447
;JAWA TENGAH;KOTA TEGAL;LELE;2019;16185;282810000;17473.58665
;JAWA TENGAH;KUDUS;LELE;2019;1043214;17287178000;16571.07554
;JAWA TENGAH;MAGELANG;LELE;2019;6961352;111381632000;16000
;JAWA TENGAH;PATI;LELE;2019;11535735;199105622000;17259.89909
;JAWA TENGAH;PEKALONGAN;LELE;2019;806088;13703496000;17000
;JAWA TENGAH;PEMALANG;LELE;2019;1809353;30282751000;16736.78436
;JAWA TENGAH;PURBALINGGA;LELE;2019;2393565;39163657500;16362.0614
;JAWA TENGAH;PURWOREJO;LELE;2019;579659;9775948750;16864.99951
;JAWA TENGAH;REMBANG;LELE;2019;958941;17260938000;18000
;JAWA TENGAH;SEMARANG;LELE;2019;3253961;58571298000;18000
;JAWA TENGAH;SRAGEN;LELE;2019;5858410;96945867000;16548.15334
;JAWA TENGAH;SUKOHARJO;LELE;2019;10743295;182636015000;17000
;JAWA TENGAH;TEGAL;LELE;2019;871812;15131764000;17356.6824
;JAWA TENGAH;TEMANGGUNG;LELE;2019;4257819;70272423000;16504.32369
;JAWA TENGAH;WONOGIRI;LELE;2019;504187;8066992000;16000
;JAWA TENGAH;WONOSOBO;LELE;2019;3714065;48282845000;13000
;JAWA TIMUR;BANGKALAN;LELE;2019;91952;1839040000;20000
;JAWA TIMUR;BANYUWANGI;LELE;2019;4786324;70682899066;14767.67955
;JAWA TIMUR;BLITAR;LELE;2019;10383300;145629300000;14025.33877
;JAWA TIMUR;BOJONEGORO;LELE;2019;2751514;44789420000;16278.09998
;JAWA TIMUR;BONDOWOSO;LELE;2019;684461;16427064000;24000
;JAWA TIMUR;GRESIK;LELE;2019;1193971;21252260000;17799.64505
;JAWA TIMUR;JEMBER;LELE;2019;8242000;123630000000;15000
;JAWA TIMUR;JOMBANG;LELE;2019;7838600;123570600000;15764.37119
;JAWA TIMUR;KEDIRI;LELE;2019;14980000;194740000000;13000
;JAWA TIMUR;KOTA BATU;LELE;2019;32945;560065000;17000
;JAWA TIMUR;KOTA BLITAR;LELE;2019;86415;1455874000;16847.46861
;JAWA TIMUR;KOTA KEDIRI;LELE;2019;135900;2122936700;15621.31494
;JAWA TIMUR;KOTA MADIUN;LELE;2019;168900;2702400000;16000
;JAWA TIMUR;KOTA MALANG;LELE;2019;113970;1823520000;16000
;JAWA TIMUR;KOTA MOJOKERTO;LELE;2019;110767;1827655500;16500
;JAWA TIMUR;KOTA PASURUAN;LELE;2019;47578;729336000;15329.26983
;JAWA TIMUR;KOTA PROBOLINGGO;LELE;2019;234620;3606840003;15373.11398
;JAWA TIMUR;KOTA SURABAYA;LELE;2019;765081;13771458000;18000
;JAWA TIMUR;LAMONGAN;LELE;2019;2266471;33997065000;15000
;JAWA TIMUR;LUMAJANG;LELE;2019;711850;10677750000;15000
;JAWA TIMUR;MADIUN;LELE;2019;2075700;31135500000;15000
;JAWA TIMUR;MAGETAN;LELE;2019;1531900;24510400000;16000
;JAWA TIMUR;MALANG;LELE;2019;8139701;122095515000;15000
;JAWA TIMUR;MOJOKERTO;LELE;2019;940380;15330420000;16302.36713
;JAWA TIMUR;NGANJUK;LELE;2019;8330000;134776960000;16179.70708
;JAWA TIMUR;NGAWI;LELE;2019;2378105;38049680000;16000
